group,metric,HOH,Hbond,OH,OO,OrderP,ZOH,n_HOH,n_Hbond,n_OH,n_OO,n_OrderP,n_ZOH
PPAFM2Exp_CoAll_L10_L10_Elatest,ED,0.021675 +/- 0.000621,0.029076 +/- 0.003699,0.018686 +/- 0.000518,0.010450 +/- 0.000617,0.241690 +/- 0.009320,0.034914 +/- 0.002309,11,11,11,11,11,11
PPAFM2Exp_CoAll_L10_L10_Elatest,MMD,0.675487 +/- 0.005766,0.263687 +/- 0.012204,0.621820 +/- 0.004073,0.318897 +/- 0.006344,0.632512 +/- 0.010611,0.207001 +/- 0.007351,11,11,11,11,11,11
PPAFM2Exp_CoAll_L10_L10_Elatest,WD,0.051522 +/- 0.001139,0.048406 +/- 0.004120,0.040573 +/- 0.000645,0.032041 +/- 0.001239,0.245997 +/- 0.007683,0.118144 +/- 0.003839,11,11,11,11,11,11
PPAFM2Exp_CoAll_L10_L10_Elatest_Only,ED,0.023248 +/- 0.000816,0.046529 +/- 0.005225,0.020167 +/- 0.000579,0.011917 +/- 0.000977,0.258055 +/- 0.011176,0.041028 +/- 0.005249,11,11,11,11,11,11
PPAFM2Exp_CoAll_L10_L10_Elatest_Only,MMD,0.691610 +/- 0.005805,0.321734 +/- 0.016490,0.633852 +/- 0.003563,0.338605 +/- 0.010358,0.641039 +/- 0.014392,0.222285 +/- 0.017082,11,11,11,11,11,11
PPAFM2Exp_CoAll_L10_L10_Elatest_Only,WD,0.053425 +/- 0.001647,0.066208 +/- 0.005341,0.042898 +/- 0.000655,0.035385 +/- 0.001791,0.262284 +/- 0.009313,0.125227 +/- 0.008753,11,11,11,11,11,11
PPAFM2Exp_CoAll_L20_L1_Elatest,ED,0.022312 +/- 0.000739,0.027176 +/- 0.003085,0.018616 +/- 0.000535,0.009375 +/- 0.000366,0.245317 +/- 0.009587,0.037130 +/- 0.003305,10,10,10,10,10,10
PPAFM2Exp_CoAll_L20_L1_Elatest,MMD,0.681303 +/- 0.005476,0.249695 +/- 0.009430,0.621791 +/- 0.004057,0.313810 +/- 0.003498,0.645124 +/- 0.009973,0.212456 +/- 0.010463,10,10,10,10,10,10
PPAFM2Exp_CoAll_L20_L1_Elatest,WD,0.052702 +/- 0.001289,0.048966 +/- 0.003328,0.040957 +/- 0.000574,0.031550 +/- 0.001542,0.247171 +/- 0.010070,0.121231 +/- 0.006147,10,10,10,10,10,10
PPAFM2Exp_CoAll_L20_L1_Elatest_Only,ED,0.024874 +/- 0.000534,0.041762 +/- 0.004942,0.019592 +/- 0.000424,0.010650 +/- 0.000822,0.249518 +/- 0.010249,0.028206 +/- 0.002918,11,11,11,11,11,11
PPAFM2Exp_CoAll_L20_L1_Elatest_Only,MMD,0.698045 +/- 0.005529,0.298260 +/- 0.014684,0.633024 +/- 0.004380,0.330730 +/- 0.009433,0.638805 +/- 0.009353,0.188631 +/- 0.010791,11,11,11,11,11,11
PPAFM2Exp_CoAll_L20_L1_Elatest_Only,WD,0.057524 +/- 0.001173,0.064006 +/- 0.005201,0.043411 +/- 0.000550,0.034263 +/- 0.001712,0.253320 +/- 0.010350,0.104814 +/- 0.005701,11,11,11,11,11,11
Ref,ED,0.024309 +/- 0.000612,0.096383 +/- 0.006742,0.021806 +/- 0.000670,0.015327 +/- 0.000830,0.259010 +/- 0.005274,0.039553 +/- 0.003436,11,11,11,11,11,11
Ref,MMD,0.680731 +/- 0.006573,0.449777 +/- 0.011665,0.629221 +/- 0.004171,0.377738 +/- 0.007110,0.648725 +/- 0.007143,0.217940 +/- 0.009730,11,11,11,11,11,11
Ref,WD,0.057553 +/- 0.001144,0.114462 +/- 0.006263,0.044694 +/- 0.000667,0.042481 +/- 0.001066,0.257413 +/- 0.003867,0.120964 +/- 0.006215,11,11,11,11,11,11
