layer,group,distance_key,metric,property,n,mean,std,sem
Top,Ref,wdistancec_nor,WD,OO,11,0.042481241659697445,0.0035360156633612414,0.0010661488371080806
Top,Ref,wdistancec_nor,WD,OH,11,0.04469414125018884,0.0022134578632017903,0.0006673826565001954
Top,Ref,wdistancec_nor,WD,HOH,11,0.05755268589979994,0.0037957247935201835,0.0011444540861414248
Top,Ref,wdistancec_nor,WD,ZOH,11,0.12096354147219766,0.02061330657048898,0.006215145780261782
Top,Ref,wdistancec_nor,WD,Hbond,11,0.11446212773973291,0.020771613418908527,0.006262877090984628
Top,Ref,wdistancec_nor,WD,OrderP,11,0.2574126408858733,0.012824408901192038,0.0038667047712134515
Top,PPAFM2Exp_CoAll_L20_L1_Elatest_Only,wdistancec_nor,WD,OO,11,0.03426253401562478,0.005677121164364217,0.0017117164355983342
Top,PPAFM2Exp_CoAll_L20_L1_Elatest_Only,wdistancec_nor,WD,OH,11,0.043410848767097894,0.001824039888798885,0.0005499687194352262
Top,PPAFM2Exp_CoAll_L20_L1_Elatest_Only,wdistancec_nor,WD,HOH,11,0.05752402791011428,0.003889281543891055,0.0011726625077400725
Top,PPAFM2Exp_CoAll_L20_L1_Elatest_Only,wdistancec_nor,WD,ZOH,11,0.10481442589446856,0.018907318342372168,0.005700770975768445
Top,PPAFM2Exp_CoAll_L20_L1_Elatest_Only,wdistancec_nor,WD,Hbond,11,0.06400576538660309,0.017248345477159636,0.00520057183656019
Top,PPAFM2Exp_CoAll_L20_L1_Elatest_Only,wdistancec_nor,WD,OrderP,11,0.2533200830221176,0.03432772796012159,0.01035019941355595
Top,PPAFM2Exp_CoAll_L20_L1_Elatest,wdistancec_nor,WD,OO,10,0.031550152394393856,0.004877511565484328,0.001542404586074399
Top,PPAFM2Exp_CoAll_L20_L1_Elatest,wdistancec_nor,WD,OH,10,0.04095724178820863,0.00181486830855186,0.000573911750828112
Top,PPAFM2Exp_CoAll_L20_L1_Elatest,wdistancec_nor,WD,HOH,10,0.05270242752880476,0.004074949176570743,0.0012886120747391192
Top,PPAFM2Exp_CoAll_L20_L1_Elatest,wdistancec_nor,WD,ZOH,10,0.12123111534691162,0.01943964441236637,0.006147355324684323
Top,PPAFM2Exp_CoAll_L20_L1_Elatest,wdistancec_nor,WD,Hbond,10,0.048966304212808606,0.010523783922257094,0.003327912679779277
Top,PPAFM2Exp_CoAll_L20_L1_Elatest,wdistancec_nor,WD,OrderP,10,0.2471708297729492,0.03184474798206013,0.010070193513736081
Top,PPAFM2Exp_CoAll_L10_L10_Elatest_Only,wdistancec_nor,WD,OO,11,0.035384589338614394,0.005940696754461505,0.001791187466166445
Top,PPAFM2Exp_CoAll_L10_L10_Elatest_Only,wdistancec_nor,WD,OH,11,0.04289795750883473,0.0021732261297047893,0.0006552523324388203
Top,PPAFM2Exp_CoAll_L10_L10_Elatest_Only,wdistancec_nor,WD,HOH,11,0.05342514690095794,0.005463024367970988,0.00164716382264802
Top,PPAFM2Exp_CoAll_L10_L10_Elatest_Only,wdistancec_nor,WD,ZOH,11,0.12522666799377252,0.02902990626834422,0.008752846071934915
Top,PPAFM2Exp_CoAll_L10_L10_Elatest_Only,wdistancec_nor,WD,Hbond,11,0.06620849872177298,0.017714212347864838,0.00534103598314075
Top,PPAFM2Exp_CoAll_L10_L10_Elatest_Only,wdistancec_nor,WD,OrderP,11,0.26228382370688696,0.030889342131899825,0.00931348707931168
Top,PPAFM2Exp_CoAll_L10_L10_Elatest,wdistancec_nor,WD,OO,11,0.03204091387235946,0.004110895383278439,0.0012394815944308032
Top,PPAFM2Exp_CoAll_L10_L10_Elatest,wdistancec_nor,WD,OH,11,0.04057337632354672,0.002139227036898834,0.0006450012202524726
Top,PPAFM2Exp_CoAll_L10_L10_Elatest,wdistancec_nor,WD,HOH,11,0.05152165980326306,0.0037792592533227305,0.0011394895389772914
Top,PPAFM2Exp_CoAll_L10_L10_Elatest,wdistancec_nor,WD,ZOH,11,0.11814423346789392,0.012733898111384971,0.0038394147412799274
Top,PPAFM2Exp_CoAll_L10_L10_Elatest,wdistancec_nor,WD,Hbond,11,0.04840597713535482,0.013665750434245637,0.004120378788093559
Top,PPAFM2Exp_CoAll_L10_L10_Elatest,wdistancec_nor,WD,OrderP,11,0.2459973625161431,0.025481739879380752,0.0076830336532129105
Top,Ref,edistancec_nor,ED,OO,11,0.015326649493213142,0.0027512532933498157,0.0008295340797519033
